city,date,station,trips
Mountain View,24/02/2014,31,5
Mountain View,24/02/2014,32,4
Mountain View,24/02/2014,33,1
Mountain View,25/02/2014,27,6
Mountain View,25/02/2014,28,13
Mountain View,25/02/2014,29,3
Mountain View,25/02/2014,30,1
Mountain View,25/02/2014,31,3
Mountain View,25/02/2014,32,2
Mountain View,25/02/2014,33,1
Mountain View,26/02/2014,27,2
Mountain View,26/02/2014,28,2
Mountain View,26/02/2014,30,1
Mountain View,26/02/2014,31,2
Mountain View,27/02/2014,27,4
Mountain View,27/02/2014,28,10
Mountain View,27/02/2014,29,1
Mountain View,27/02/2014,30,2
Mountain View,27/02/2014,32,1
Mountain View,28/02/2014,27,4
Mountain View,28/02/2014,28,6
Mountain View,28/02/2014,29,1
Mountain View,28/02/2014,30,1
Mountain View,28/02/2014,31,2
Mountain View,28/02/2014,32,2
Mountain View,28/02/2014,33,1
Mountain View,01/03/2014,32,2
Mountain View,02/03/2014,28,3
Mountain View,02/03/2014,29,1
Mountain View,02/03/2014,31,4
Mountain View,02/03/2014,32,5
Mountain View,02/03/2014,33,6
Mountain View,03/03/2014,27,5
Mountain View,03/03/2014,28,12
Mountain View,03/03/2014,29,6
Mountain View,03/03/2014,30,2
Mountain View,03/03/2014,31,6
Mountain View,03/03/2014,32,8
Mountain View,03/03/2014,33,1
Mountain View,04/03/2014,27,6
Mountain View,04/03/2014,28,14
Mountain View,04/03/2014,29,3
Mountain View,04/03/2014,30,4
Mountain View,04/03/2014,31,4
Mountain View,04/03/2014,32,4
Mountain View,04/03/2014,33,3
Mountain View,05/03/2014,27,5
Mountain View,05/03/2014,28,11
Mountain View,05/03/2014,29,3
Mountain View,05/03/2014,30,1
Mountain View,05/03/2014,31,5
Mountain View,05/03/2014,32,2
Mountain View,05/03/2014,33,2
Mountain View,06/03/2014,27,4
Mountain View,06/03/2014,28,15
Mountain View,06/03/2014,29,4
Mountain View,06/03/2014,30,1
Mountain View,06/03/2014,31,5
