id;point;convert_point;name;oldName;isActive;station;institute;trackNo;usableLength;trackSurface;frameType;frontLength;lighting;plkId;isEsriStation
815;0xE6100000010C480BA8EECC114A40E0F3FD20074F3140;POINT (17.308702528000026 52.13906653600003);Sulęcinek;Sulęcinek;tak;" ";Ostrów Wielkopolski;" ";" ";" ";" ";" ";" ";30262;1
816;0xE6100000010CF07150763E104A40F07DF095517A3140;POINT (17.477807399000028 52.126906194000071);Orzechowo;Orzechowo;tak;" ";Ostrów Wielkopolski;" ";" ";" ";" ";" ";" ";44768;1
817;0xE6100000010CF0B3C449E80D4A40A0EC6368E9513140;POINT (17.319967770000062 52.108651372000054);Solec Wielkopolski;Solec;tak;" ";Ostrów Wielkopolski;" ";" ";" ";" ";" ";" ";30270;1
818;0xE6100000010CC89B7392DB0B4A4020A0AD5012033140;POINT (17.011998217000041 52.092638308000062);Śrem;Śrem;nie;" ";Ostrów Wielkopolski;" ";" ";" ";" ";" ";" ";45005;1
819;0xE6100000010CD04B4AB604094A4000EFEC1E657F3140;POINT (17.497636731000057 52.070456301000036);Żerków;Żerków;tak;" ";Ostrów Wielkopolski;" ";" ";" ";" ";" ";" ";44750;1
820;0xE6100000010C489BA730F2094A40904B139849073140;POINT (17.028466706000074 52.077703554000038);Grzymysław;Grzymysław;nie;" ";Ostrów Wielkopolski;" ";" ";" ";" ";" ";" ";45070;1
821;0xE6100000010CE8155CD4F0084A40F014B1E39A593140;POINT (17.350019675000055 52.06984953400007);Chocicza;Chocicza;tak;Chocicza;Ostrów Wlkp.;5;71;P-1597;" ";71;nie ma;30288;1
822;0xE6100000010C80B3AEED87084A40A06E22D26D093140;POINT (17.03683198300007 52.066648207000071);Pysząca;Pysząca;nie;" ";Ostrów Wielkopolski;" ";" ";" ";" ";" ";" ";45088;1
823;0xE6100000010CE087FE013D064A4050B0E6774F3B3140;POINT (17.231681341000069 52.048736810000037);Książ Wielkopolski;Książ Wielkopolski;nie;" ";Ostrów Wielkopolski;" ";" ";" ";" ";" ";" ";45138;1
824;0xE6100000010CA83D99AAF4054A4020BA5F33B02F3140;POINT (17.186282359000074 52.046529126000053);Konarskie;Konarskie;nie;" ";Ostrów Wielkopolski;" ";" ";" ";" ";" ";" ";45120;1
825;0xE6100000010C6812977E6A054A40C04A999C261C3140;POINT (17.109964168000033 52.042312454000069);Wieszczyczyn;Wieszczyczyn;nie;" ";Ostrów Wielkopolski;" ";" ";" ";" ";" ";" ";45096;1
826;0xE6100000010CD04760B3E9034A40A03CBA58EB4E3140;POINT (17.308278604000066 52.030569479000064);Chwałkowo Kościelne;Chwałkowo Kościelne;nie;" ";Ostrów Wielkopolski;" ";" ";" ";" ";" ";" ";45153;1
827;0xE6100000010C3039E48FF7024A40A0E7616BAD703140;POINT (17.440146171000038 52.023179995000078);Mieszków;Mieszków;tak;" ";Ostrów Wielkopolski;" ";" ";" ";" ";" ";" ";44735;1
828;0xE6100000010CD0F1F91737024A40B0FF3CA5345C3140;POINT (17.360178306000023 52.01730632500005);Panienka;Panienka;nie;" ";Ostrów Wielkopolski;" ";" ";" ";" ";" ";" ";45146;1
829;0xE6100000010CE83759CBA6284A4090A1CBC4C2CC3040;POINT (16.799846935000062 52.317590159000076);Szreniawa;Szreniawa;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";30486;1
830;0xE6100000010C9862F3505F284A401027965959DE3040;POINT (16.868550872000071 52.315408820000073);Wiry;Wiry;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";30494;1
