,kod,plk,stacja,opiskod1,pelna,szerokosc,dlugosc,wojewodztwo,Coordinates
7085,SŁONICE (S),29447.0,SŁONICE,SŁONICE (STACJA),SŁONICE (STACJA) 73-231 woj.ZACHODNIOPOMORSKIE,53.09136959,15.51709495,ZACHODNIOPOMORSKIE,"53.09136959,15.51709495,SŁONICE (STACJA)"
7088,SŁOTWINY (S),47506.0,SŁOTWINY,SŁOTWINY (STACJA),"Działkowa 2, 95-040 Słotwiny, Polska",51.7235494,19.839072,ŁÓDZKIE,"51.7235494,19.839072,SŁOTWINY (STACJA)"
7089,SŁOWIENKOWO (S),4440.0,SŁOWIENKOWO,SŁOWIENKOWO (STACJA),SŁOWIENKOWO (STACJA) 76-038 woj.ZACHODNIOPOMORSKIE,54.20609,15.94917,ZACHODNIOPOMORSKIE,"54.20609,15.94917,SŁOWIENKOWO (STACJA)"
7092,SŁUBICE (S),233169.0,SŁUBICE,SŁUBICE (STACJA),SŁUBICE TRANSPORTOWA woj.LUBUSKIE Stacja:SŁUBICE,52.3371009,14.5901071,LUBUSKIE,"52.3371009,14.5901071,SŁUBICE (STACJA)"
7096,SŁUPCA (S),30122.0,SŁUPCA,SŁUPCA (STACJA),SŁUPCA KOLEJOWA woj.WIELKOPOLSKIE Stacja:SŁUPCA,52.28743284,17.85226405,WIELKOPOLSKIE,"52.28743284,17.85226405,SŁUPCA (STACJA)"
7098,SŁUPIA (S),45724.0,SŁUPIA,SŁUPIA (STACJA),SŁUPIA POD KĘPNEM DWORCOWA woj.WIELKOPOLSKIE Stacja:SŁUPIA,51.25229198,18.04093298,WIELKOPOLSKIE,"51.25229198,18.04093298,SŁUPIA (STACJA)"
7105,SŁUPSK (S),4705.0,SŁUPSK,SŁUPSK (STACJA),SŁUPSK (STACJA) 76-200 woj.POMORSKIE,54.46746134,17.01608668,POMORSKIE,"54.46746134,17.01608668,SŁUPSK (STACJA)"
7111,SŁUSZEWO (S),6387.0,SŁUSZEWO,SŁUSZEWO (STACJA),SŁUSZEWO (STACJA) 84-250 woj.POMORSKIE,54.66853507,18.06698498,POMORSKIE,"54.66853507,18.06698498,SŁUSZEWO (STACJA)"
7112,SMARDY (S),61267.0,SMARDY,SMARDY (STACJA),"Dworzec PKP Smardy, Wielka, Smardzka Kolonia, Polska",50.9920003,18.1457514,OPOLSKIE,"50.9920003,18.1457514,SMARDY (STACJA)"
7114,SMARDZEW (S),46946.0,SMARDZEW,SMARDZEW (STACJA),SMARDZEW (STACJA) 95-002 woj.ŁÓDZKIE,51.8740877,19.4705256,ŁÓDZKIE,"51.8740877,19.4705256,SMARDZEW (STACJA)"
7117,SMARDZÓW WROCŁAW (S),60145.0,SMARDZÓW WROCŁAWSKI,SMARDZÓW WROCŁAWSKI (STACJA),"Kolejowa, 55-010 Żerniki Wrocławskie, Polska",51.0296997,17.0657103,DOLNOŚLĄSKIE,"51.0296997,17.0657103,SMARDZÓW WROCŁAWSKI (STACJA)"
7120,SMĘTOWO (S),8474.0,SMĘTOWO,SMĘTOWO (STACJA),SMĘTOWO GRANICZNE DWORCOWA woj.POMORSKIE Stacja:SMĘTOWO,53.7480594,18.68629311,POMORSKIE,"53.7480594,18.68629311,SMĘTOWO (STACJA)"
7133,SMOGORZÓW PRZYSU (S),48835.0,SMOGORZÓW PRZYSUSKI,SMOGORZÓW PRZYSUSKI (STACJA),SMOGORZÓW PRZYSUSKI (STACJA) 26-411 woj.MAZOWIECKIE,51.3949802,20.6050704,MAZOWIECKIE,"51.3949802,20.6050704,SMOGORZÓW PRZYSUSKI (STACJA)"
7134,SMOLEŃ PO (S),29421.0,SMOLEŃ PO,SMOLEŃ PO (STACJA),SMOLEŃ PO (STACJA) 73-200 woj.ZACHODNIOPOMORSKIE,53.15158769,15.46316163,ZACHODNIOPOMORSKIE,"53.15158769,15.46316163,SMOLEŃ PO (STACJA)"
7135,SMOLEŃ PZZ BOCZN (S),29421.0,SMOLEŃ PO,SMOLEŃ PZZ BOCZNICA (STACJA),SMOLEŃ PZZ BOCZNICA (STACJA) 73-200 woj.ZACHODNIOPOMORSKIE,53.15158769,15.46316163,ZACHODNIOPOMORSKIE,"53.15158769,15.46316163,SMOLEŃ PZZ BOCZNICA (STACJA)"
7136,SMOLICE (S),44149.0,SMOLICE,SMOLICE (STACJA),SMOLICE (STACJA) 63-740 woj.WIELKOPOLSKIE,51.6983091,17.18096674,WIELKOPOLSKIE,"51.6983091,17.18096674,SMOLICE (STACJA)"
7137,SMOLNIKI  PO (S),21857.0,SMOLNIKI  PO,SMOLNIKI  PO (STACJA),SMOLNIKI  PO (STACJA) 14-200 woj.WARMIŃSKO-MAZURSKIE,53.5417,19.60742,WARMIŃSKO-MAZURSKIE,"53.5417,19.60742,SMOLNIKI  PO (STACJA)"
7138,SMOLNO WIELKIE (S),43257.0,SMOLNO WIELKIE,SMOLNO WIELKIE (STACJA),SMOLNO WIELKIE (STACJA) 66-120 woj.LUBUSKIE,52.0681347,15.77164584,LUBUSKIE,"52.0681347,15.77164584,SMOLNO WIELKIE (STACJA)"
7139,SMROKÓW (S),79426.0,SMROKÓW,SMROKÓW (STACJA),"Smroków, gmina Słomniki, Polska",50.2824573,20.032278,MAŁOPOLSKIE,"50.2824573,20.032278,SMROKÓW (STACJA)"
7144,SOBIAŁKOWO (S),44362.0,SOBIAŁKOWO,SOBIAŁKOWO (STACJA),SOBIAŁKOWO (STACJA) 63-910 woj.WIELKOPOLSKIE,51.66400494,17.00703907,WIELKOPOLSKIE,"51.66400494,17.00703907,SOBIAŁKOWO (STACJA)"
7151,SOBKÓW (S),63925.0,SOBKÓW,SOBKÓW (STACJA),"DWORZEC PKP SOBKÓW, 0155T, 28-305 SOKOŁÓW DOLNY, POLSKA",50.73189872,20.43064356,województwo świętokrzyskie,"50.73189872,20.43064356,SOBKÓW (STACJA)"
7152,SOBOLEW (S),39321.0,SOBOLEW,SOBOLEW (STACJA),"KOLEJOWA 3, 08-460 SOBOLEW, POLSKA",51.74073,21.67231,MAZOWIECKIE,"51.74073,21.67231,SOBOLEW (STACJA)"
7154,SOBÓTKA (S),58487.0,SOBÓTKA,SOBÓTKA (STACJA),"Stacyjna, Sobótka, Polska",50.9051019,16.7399079,DOLNOŚLĄSKIE,"50.9051019,16.7399079,SOBÓTKA (STACJA)"
7155,SOBÓTKA ZACHODNI (S),58495.0,SOBÓTKA ZACHODNIA,SOBÓTKA ZACHODNIA (STACJA),"Torowa, Sobótka, Polska",50.9078909,16.6978525,DOLNOŚLĄSKIE,"50.9078909,16.6978525,SOBÓTKA ZACHODNIA (STACJA)"
7158,SOCHACZEW (S),34603.0,SOCHACZEW,SOCHACZEW (STACJA),SOCHACZEW GRABSKIEGO woj.MAZOWIECKIE Stacja:SOCHACZEW,52.2269697,20.2422249,MAZOWIECKIE,"52.2269697,20.2422249,SOCHACZEW (STACJA)"
7163,SOKOLE BIAŁOSTOC (S),24331.0,SOKOLE BIAŁOSTOCKIE,SOKOLE BIAŁOSTOCKIE (STACJA),SOKOLE BIAŁOSTOCKIE (STACJA) 16-050 woj.PODLASKIE,53.0862218,23.5112116,PODLASKIE,"53.0862218,23.5112116,SOKOLE BIAŁOSTOCKIE (STACJA)"
7164,SOKOLINIEC (S),2469.0,SOKOLINIEC,SOKOLINIEC (STACJA),SOKOLINIEC (STACJA) 73-210 woj.ZACHODNIOPOMORSKIE,53.29353391,15.5060017,ZACHODNIOPOMORSKIE,"53.29353391,15.5060017,SOKOLINIEC (STACJA)"
7169,SOKOŁOWO BUDZYŃS (S),16154.0,SOKOŁOWO BUDZYŃSKIE,SOKOŁOWO BUDZYŃSKIE (STACJA),SOKOŁOWO BUDZYŃSKIE (STACJA) 64-840 woj.WIELKOPOLSKIE,52.83900727,16.96920711,WIELKOPOLSKIE,"52.83900727,16.96920711,SOKOŁOWO BUDZYŃSKIE (STACJA)"
7173,SOKOŁÓW PODLASKI (S),39636.0,SOKOŁÓW PODLASKI,SOKOŁÓW PODLASKI (STACJA),SOKOŁÓW PODLASKI (STACJA) 08-300 woj.MAZOWIECKIE,52.4088464,22.251913,MAZOWIECKIE,"52.4088464,22.251913,SOKOŁÓW PODLASKI (STACJA)"
7176,SOKOŁY (S),23549.0,SOKOŁY,SOKOŁY (STACJA),SOKOŁY (STACJA) 19-500 woj.WARMIŃSKO-MAZURSKIE,54.26083,22.165,WARMIŃSKO-MAZURSKIE,"54.26083,22.165,SOKOŁY (STACJA)"
7179,SOKÓŁKA (S),24802.0,SOKÓŁKA,SOKÓŁKA (STACJA),SOKÓŁKA MICKIEWICZA woj.PODLASKIE Stacja:SOKÓŁKA,53.40715,23.50228,PODLASKIE,"53.40715,23.50228,SOKÓŁKA (STACJA)"
7184,SOLEC KUJAWSKI (S),19844.0,SOLEC KUJAWSKI,SOLEC KUJAWSKI (STACJA),"Dworzec PKP Solec Kujawski, Dworcowa, Solec Kujawski, Polska",53.0783398,18.2261258,KUJAWSKO-POMORSKIE,"53.0783398,18.2261258,SOLEC KUJAWSKI (STACJA)"
7185,SOLEC WIELKOPOLS (S),30270.0,SOLEC WIELKOPOLSKI,SOLEC WIELKOPOLSKI (STACJA),SOLEC WIELKOPOLSKI (STACJA) 63-023 woj.WIELKOPOLSKIE,52.10865137,17.31996777,WIELKOPOLSKIE,"52.10865137,17.31996777,SOLEC WIELKOPOLSKI (STACJA)"
7186,SOLNIKI WIELKIE (S),59626.0,SOLNIKI WIELKIE,SOLNIKI WIELKIE (STACJA),"451, Pod Cegielnią, Polska",51.1529395,17.4924546,DOLNOŚLĄSKIE,"51.1529395,17.4924546,SOLNIKI WIELKIE (STACJA)"
7189,SOŁTYKÓW (S),49585.0,SOŁTYKÓW,SOŁTYKÓW (STACJA),"47, 26-120 Sołtyków, Polska",51.1370534,20.6907388,ŚWIĘTOKRZYSKIE,"51.1370534,20.6907388,SOŁTYKÓW (STACJA)"
7192,SOMONINO (S),17780.0,SOMONINO,SOMONINO (STACJA),SOMONINO OGRODNIKÓW woj.POMORSKIE Stacja:SOMONINO,54.27006143,18.19276387,POMORSKIE,"54.27006143,18.19276387,SOMONINO (STACJA)"
7199,SOPOT (S),5942.0,SOPOT,SOPOT (STACJA),SOPOT KOLEJOWA woj.POMORSKIE Stacja:SOPOT,54.44150603,18.56168964,POMORSKIE,"54.44150603,18.56168964,SOPOT (STACJA)"
7201,SOPOT KAMIEN POT (S),5959.0,SOPOT KAMIENNY POTOK,SOPOT KAMIENNY POTOK (STACJA),SOPOT KAMIENNY POTOK (STACJA) 81-862 woj.POMORSKIE,54.45832797,18.55321782,POMORSKIE,"54.45832797,18.55321782,SOPOT KAMIENNY POTOK (STACJA)"
7203,SOPOT WYŚCIGI (S),5967.0,SOPOT WYŚCIGI,SOPOT WYŚCIGI (STACJA),SOPOT JANA Z KOLNA woj.POMORSKIE Stacja:SOPOT WYŚCIGI,54.43128341,18.56508544,POMORSKIE,"54.43128341,18.56508544,SOPOT WYŚCIGI (STACJA)"
7204,SORKWITY (S),9886.0,SORKWITY,SORKWITY (STACJA),SORKWITY (STACJA) 11-731 woj.WARMIŃSKO-MAZURSKIE,53.8449982,21.1499243,WARMIŃSKO-MAZURSKIE,"53.8449982,21.1499243,SORKWITY (STACJA)"
7211,SOSNOWE (S),39842.0,SOSNOWE,SOSNOWE (STACJA),SOSNOWE (STACJA) 08-122 woj.MAZOWIECKIE,52.1612302,21.9333823,MAZOWIECKIE,"52.1612302,21.9333823,SOSNOWE (STACJA)"
7214,SOSNOWIEC (S),74658.0,SOSNOWIEC GŁÓWNY,SOSNOWIEC (STACJA),"Dworzec PKP Sosnowiec Główny, 3 Maja 16, 41-200 Sosnowiec, Polska",50.2785869,19.126449,ŚLĄSKIE,"50.2785869,19.126449,SOSNOWIEC (STACJA)"
7218,SOSNOWIEC DAŃDÓW (S),73403.0,SOSNOWIEC DAŃDÓWKA,SOSNOWIEC DAŃDÓWKA (STACJA),"Niwecka, Sosnowiec, Polska",50.2653234,19.1643247,ŚLĄSKIE,"50.2653234,19.1643247,SOSNOWIEC DAŃDÓWKA (STACJA)"
7219,SOSNOWIEC GŁÓWNY (S),74658.0,SOSNOWIEC GŁÓWNY,SOSNOWIEC GŁÓWNY (STACJA),"Dworzec PKP Sosnowiec Główny, 3 Maja 16, 41-200 Sosnowiec, Polska",50.2785869,19.126449,ŚLĄSKIE,"50.2785869,19.126449,SOSNOWIEC GŁÓWNY (STACJA)"
7220,SOSNOWIEC JĘZOR (S),73684.0,SOSNOWIEC JĘZOR,SOSNOWIEC JĘZOR (STACJA),"DWORZEC PKP SOSNOWIEC JĘZOR, DŁUGA, 41-218 SOSNOWIEC, POLSKA",50.24304019,19.20140862,województwo śląskie,"50.24304019,19.20140862,SOSNOWIEC JĘZOR (STACJA)"
7221,SOSNOWIEC KAZIMI (S),74971.0,SOSNOWIEC KAZIMIERZ,SOSNOWIEC KAZIMIERZ (STACJA),"Dworzec PKP Sosnowiec Kazimierz (niecz.), Gustawa Morcinka, Sosnowiec, Polska",50.2883383,19.2317764,ŚLĄSKIE,"50.2883383,19.2317764,SOSNOWIEC KAZIMIERZ (STACJA)"
7223,SOSNOWIEC MACZKI (S),74971.0,SOSNOWIEC KAZIMIERZ,SOSNOWIEC MACZKI (STACJA),"Dworzec PKP Sosnowiec Maczki, Skwerowa 18, 41-217 Sosnowiec, Polska",50.2623707,19.2692773,ŚLĄSKIE,"50.2623707,19.2692773,SOSNOWIEC MACZKI (STACJA)"
7224,SOSNOWIEC POŁUDN (S),73478.0,SOSNOWIEC POŁUDNIOWY,SOSNOWIEC POŁUDNIOWY (STACJA),"Dworzec PKP Sosnowiec Połódniowy, Kościelna 60, 41-200 Sosnowiec, Polska",50.2695941,19.1259296,ŚLĄSKIE,"50.2695941,19.1259296,SOSNOWIEC POŁUDNIOWY (STACJA)"
7225,SOSNOWIEC PORĄBK (S),75036.0,SOSNOWIEC PORĄBKA,SOSNOWIEC PORĄBKA (STACJA),"Upadowa 7, 41-216 Sosnowiec, Polska",50.2717169,19.2166252,ŚLĄSKIE,"50.2717169,19.2166252,SOSNOWIEC PORĄBKA (STACJA)"
7237,SOWCZYCE (S),71548.0,SOWCZYCE,SOWCZYCE (STACJA),"Kolejowa 3, 46-300 Sowczyce, Polska",50.8462085,18.5017289,OPOLSKIE,"50.8462085,18.5017289,SOWCZYCE (STACJA)"
7238,SOWIN (S),56754.0,SOWIN,SOWIN (STACJA),"15, 48-316 Sowin, Polska",50.5551338,17.6094731,OPOLSKIE,"50.5551338,17.6094731,SOWIN (STACJA)"
7241,SÓL (S),76836.0,SÓL,SÓL (STACJA),"Dworzec PKP Sól, 100, 34-370 Sól, Polska",49.493864,19.0513925,ŚLĄSKIE,"49.493864,19.0513925,SÓL (STACJA)"
7242,SÓL KICZORA (S),76844.0,SÓL KICZORA,SÓL KICZORA (STACJA),"ścieżka do DW Leśny, Zwardoń, Polska",49.517865,19.0317052,ŚLĄSKIE,"49.517865,19.0317052,SÓL KICZORA (STACJA)"
7244,SPŁAWIE (S),33324.0,SPŁAWIE,SPŁAWIE (STACJA),SPŁAWIE (STACJA) 62-590 woj.WIELKOPOLSKIE,52.25844304,18.08556924,WIELKOPOLSKIE,"52.25844304,18.08556924,SPŁAWIE (STACJA)"
7245,SPOROK (S),61820.0,SPOROK,SPOROK (STACJA),SPÓROK DWORCOWA woj.OPOLSKIE Stacja:SPOROK,50.62859693,18.29418759,OPOLSKIE,"50.62859693,18.29418759,SPOROK (STACJA)"
7252,STALOWA W CENTR (S),65029.0,STALOWA WOLA CENTRUM,STALOWA WOLA CENTRUM (STACJA),STALOWA WOLA CENTRUM (STACJA) 37-450 woj.PODKARPACKIE,50.570227,22.0550645,PODKARPACKIE,"50.570227,22.0550645,STALOWA WOLA CENTRUM (STACJA)"
7253,STALOWA W RO TOW (S),190032.0,STALOWA WOLA ROZWADÓW TOWAROWA,STALOWA WOLA ROZWADÓW TOWAROWA (STACJA),"ŚWIERKOWA 8, 37-450 AGATÓWKA, POLSKA",50.60234818,22.01818943,województwo podkarpackie,"50.60234818,22.01818943,STALOWA WOLA ROZWADÓW TOWAROWA (STACJA)"
7254,STALOWA W ROZWAD (S),180153.0,STALOWA WOLA ROZWADÓW R.6,STALOWA WOLA ROZWADÓW (STACJA),STALOWA WOLA DĄBROWSKIEGO J. woj.PODKARPACKIE Stacja:STALOWA WOLA ROZWADÓW R.6,50.5913352,22.0419635,PODKARPACKIE,"50.5913352,22.0419635,STALOWA WOLA ROZWADÓW (STACJA)"
7257,STALOWA WOLA (S),65037.0,STALOWA WOLA,STALOWA WOLA (STACJA),STALOWA WOLA (STACJA) 37-450 woj.PODKARPACKIE,50.569014,22.0644681,PODKARPACKIE,"50.569014,22.0644681,STALOWA WOLA (STACJA)"
7258,STALOWA WOLA PD (S),65052.0,STALOWA WOLA POŁUDNIE,STALOWA WOLA POŁUDNIE (STACJA),STALOWA WOLA ENERGETYKÓW woj.PODKARPACKIE Stacja:STALOWA WOLA POŁUDNIE,50.5446835,22.0791521,PODKARPACKIE,"50.5446835,22.0791521,STALOWA WOLA POŁUDNIE (STACJA)"
7260,STANIĄTKI (S),79632.0,STANIĄTKI,STANIĄTKI (STACJA),"370, 32-005 Staniątki, Polska",50.0101009,20.2096978,MAŁOPOLSKIE,"50.0101009,20.2096978,STANIĄTKI (STACJA)"
7261,STANISŁAWICE (S),79640.0,STANISŁAWICE,STANISŁAWICE (STACJA),"Stanisławice, gmina Bochnia, Polska",49.9877964,20.3507427,MAŁOPOLSKIE,"49.9877964,20.3507427,STANISŁAWICE (STACJA)"
7268,STANISZCZE MAŁE (S),61598.0,STANISZCZE MAŁE,STANISZCZE MAŁE (STACJA),STANISZCZE MAŁE KRZYWA woj.OPOLSKIE Stacja:STANISZCZE MAŁE,50.66417683,18.31944682,OPOLSKIE,"50.66417683,18.31944682,STANISZCZE MAŁE (STACJA)"
7269,STANISZCZE WIELK (S),61838.0,STANISZCZE WIELKIE,STANISZCZE WIELKIE (STACJA),STANISZCZE WIELKIE MICKIEWICZA A. woj.OPOLSKIE Stacja:STANISZCZE WIELKIE,50.64210728,18.35101357,OPOLSKIE,"50.64210728,18.35101357,STANISZCZE WIELKIE (STACJA)"
7273,STANOWICE (S),178877.0,STANOWICE,STANOWICE (STACJA),"Olszańska 50, 58-141 Stanowice, Polska",50.93194,16.37432,DOLNOŚLĄSKIE,"50.93194,16.37432,STANOWICE (STACJA)"
7274,STANY (S),42051.0,STANY,STANY (STACJA),STANY (STACJA) 67-100 woj.LUBUSKIE,51.85921431,15.78390106,LUBUSKIE,"51.85921431,15.78390106,STANY (STACJA)"
7277,STARA KAMIENICA (S),55848.0,STARA KAMIENICA,STARA KAMIENICA (STACJA),"Dworzec PKP Stara Kamienica, 68, 58-512 Stara Kamienica, Polska",50.9141128,15.566481,DOLNOŚLĄSKIE,"50.9141128,15.566481,STARA KAMIENICA (STACJA)"
7278,STARA KORYTNICA (S),15230.0,STARA KORYTNICA,STARA KORYTNICA (STACJA),STARA KORYTNICA (STACJA) 78-540 woj.ZACHODNIOPOMORSKIE,53.30447958,16.03139078,ZACHODNIOPOMORSKIE,"53.30447958,16.03139078,STARA KORYTNICA (STACJA)"
7279,STARA ŁUBIANKA (S),16444.0,STARA ŁUBIANKA,STARA ŁUBIANKA (STACJA),STARA ŁUBIANKA (STACJA) 64-930 woj.WIELKOPOLSKIE,53.23215111,16.70515935,WIELKOPOLSKIE,"53.23215111,16.70515935,STARA ŁUBIANKA (STACJA)"
7280,STARA WIEŚ PO (S),201089.0,STARA WIEŚ STTH,STARA WIEŚ PO (STACJA),"Sklęczki, Bohaterów Walk nad Bzurą, Kutno, Polska",52.223514,19.4216866,ŁÓDZKIE,"52.223514,19.4216866,STARA WIEŚ PO (STACJA)"
7282,STARACHOWICE (S),48173.0,STARACHOWICE,STARACHOWICE (STACJA),"HURTOWNIA KWIATÓW SZTUCZNYCH, NADRZECZNA, 27-200 STARACHOWICE, POLSKA",51.05106644,21.05916023,województwo świętokrzyskie,"51.05106644,21.05916023,STARACHOWICE (STACJA)"
7284,STARACHOWICE WSC (S),48181.0,STARACHOWICE WSCHÓD,STARACHOWICE WSCHÓD (STACJA),STARACHOWICE KOLEJOWA woj.ŚWIĘTOKRZYSKIE Stacja:STARACHOWICE WSCHÓD,51.0419091,21.0787913,ŚWIĘTOKRZYSKIE,"51.0419091,21.0787913,STARACHOWICE WSCHÓD (STACJA)"
7286,STARCZÓW (S),56432.0,STARCZÓW,STARCZÓW (STACJA),"74A, 57-224 Niedźwiednik, Polska",50.5644308,16.9478078,DOLNOŚLĄSKIE,"50.5644308,16.9478078,STARCZÓW (STACJA)"
7289,STARE BEREZOWO (S),118273.0,STARE BEREZOWO,STARE BEREZOWO (STACJA),STARE BEREZOWO (STACJA) 17-200 woj.PODLASKIE,52.7388083,23.4584459,PODLASKIE,"52.7388083,23.4584459,STARE BEREZOWO (STACJA)"
7290,STARE BIELICE (S),29132.0,STARE BIELICE,STARE BIELICE (STACJA),STARE BIELICE (STACJA) 66-530 woj.LUBUSKIE,52.85360901,15.92193241,LUBUSKIE,"52.85360901,15.92193241,STARE BIELICE (STACJA)"
7291,STARE BOJANOWO (S),42671.0,STARE BOJANOWO,STARE BOJANOWO (STACJA),STARE BOJANOWO DWORCOWA woj.WIELKOPOLSKIE Stacja:STARE BOJANOWO,51.99582862,16.58498068,WIELKOPOLSKIE,"51.99582862,16.58498068,STARE BOJANOWO (STACJA)"
7292,STARE DRZEWCE (S),42937.0,STARE DRZEWCE,STARE DRZEWCE (STACJA),STARE DRZEWCE (STACJA) 67-407 woj.LUBUSKIE,51.77664887,16.19580761,LUBUSKIE,"51.77664887,16.19580761,STARE DRZEWCE (STACJA)"
7293,STARE GUTY (S),12351.0,STARE GUTY,STARE GUTY (STACJA),STARE GUTY (STACJA) 12-200 woj.WARMIŃSKO-MAZURSKIE,53.6117827,21.9191397,WARMIŃSKO-MAZURSKIE,"53.6117827,21.9191397,STARE GUTY (STACJA)"
7294,STARE JABŁONKI (S),22079.0,STARE JABŁONKI,STARE JABŁONKI (STACJA),STARE JABŁONKI TURYSTYCZNA woj.WARMIŃSKO-MAZURSKIE Stacja:STARE JABŁONKI,53.6911385,20.0934057,WARMIŃSKO-MAZURSKIE,"53.6911385,20.0934057,STARE JABŁONKI (STACJA)"
7295,STARE JUCHY (S),11833.0,STARE JUCHY,STARE JUCHY (STACJA),"DWORZEC PKP STARE JUCHY, KOLEJOWA 2, 19-330 STARE JUCHY, POLSKA",53.92486286,22.16920853,województwo warmińsko-mazurski,"53.92486286,22.16920853,STARE JUCHY (STACJA)"
7296,STARE KUROWO (S),14324.0,STARE KUROWO,STARE KUROWO (STACJA),STARE KUROWO ŻYMIERSKIEGO woj.LUBUSKIE Stacja:STARE KUROWO,52.85463237,15.67959611,LUBUSKIE,"52.85463237,15.67959611,STARE KUROWO (STACJA)"
7297,STARE POLE (S),7880.0,STARE POLE,STARE POLE (STACJA),STARE POLE DWORCOWA woj.POMORSKIE Stacja:STARE POLE,54.0546851,19.2035336,POMORSKIE,"54.0546851,19.2035336,STARE POLE (STACJA)"
7299,STARGARD SZCZ OS (S),2568.0,STARGARD  OSIEDLE,STARGARD SZCZECIŃSKI OSIEDLE (STACJA),STARGARD SZCZECIŃSKI OSIEDLE (STACJA) 73-100 woj.ZACHODNIOPOMORSKIE,53.31523912,15.0296236,ZACHODNIOPOMORSKIE,"53.31523912,15.0296236,STARGARD SZCZECIŃSKI OSIEDLE (STACJA)"
7302,STARGARD SZCZECI (S),2204.0,STARGARD,STARGARD SZCZECIŃSKI (STACJA),STARGARD SZCZECIŃSKI (STACJA) 73-100 woj.ZACHODNIOPOMORSKIE,53.33968013,15.0308988,ZACHODNIOPOMORSKIE,"53.33968013,15.0308988,STARGARD SZCZECIŃSKI (STACJA)"
7305,STARKOWO (S),43349.0,STARKOWO,STARKOWO (STACJA),STARKOWO (STACJA) 64-234 woj.WIELKOPOLSKIE,51.97752482,16.31407242,WIELKOPOLSKIE,"51.97752482,16.31407242,STARKOWO (STACJA)"
7306,STAROGARD (S),2048.0,STAROGARD ŁOBESKI,STAROGARD (STACJA),STAROGARD (STACJA) 72-315 woj.ZACHODNIOPOMORSKIE,53.75861343,15.53784048,ZACHODNIOPOMORSKIE,"53.75861343,15.53784048,STAROGARD (STACJA)"
7307,STAROGARD GDAŃSK (S),8607.0,STAROGARD GDAŃSKI,STAROGARD GDAŃSKI (STACJA),STAROGARD GDAŃSKI (STACJA) 83-200 woj.POMORSKIE,53.97711454,18.52501997,POMORSKIE,"53.97711454,18.52501997,STAROGARD GDAŃSKI (STACJA)"
7311,STARY BOREK (S),4192.0,STARY BOREK,STARY BOREK (STACJA),STARY BOREK STARY BOREK woj.ZACHODNIOPOMORSKIE Stacja:STARY BOREK,54.1322346,15.4844451,ZACHODNIOPOMORSKIE,"54.1322346,15.4844451,STARY BOREK (STACJA)"
7312,STARY GARBÓW (S),65342.0,STARY GARBÓW,STARY GARBÓW (STACJA),STARY GARBÓW (STACJA) 27-620 woj.ŚWIĘTOKRZYSKIE,50.7719444,21.7675,ŚWIĘTOKRZYSKIE,"50.7719444,21.7675,STARY GARBÓW (STACJA)"
7313,STARY GRODKÓW (S),62190.0,STARY GRODKÓW,STARY GRODKÓW (STACJA),"15A, 48-319 Stary Grodków, Polska",50.6503126,17.3777538,OPOLSKIE,"50.6503126,17.3777538,STARY GRODKÓW (STACJA)"
7314,STARY JAWOR (S),53611.0,STARY JAWOR,STARY JAWOR (STACJA),"Cukrownicza 1a, 59-400 Jawor, Polska",51.0792068,16.1614998,DOLNOŚLĄSKIE,"51.0792068,16.1614998,STARY JAWOR (STACJA)"
7315,STARY KISIELIN (S),27920.0,STARY KISIELIN,STARY KISIELIN (STACJA),STARY KISIELIN DWORCOWA woj.LUBUSKIE Stacja:STARY KISIELIN,51.93622955,15.5906354,LUBUSKIE,"51.93622955,15.5906354,STARY KISIELIN (STACJA)"
7316,STARY KLUKOM (S),29439.0,STARY KLUKOM,STARY KLUKOM (STACJA),STARY KLUKOM (STACJA) 73-231 woj.ZACHODNIOPOMORSKIE,53.13295833,15.45318332,ZACHODNIOPOMORSKIE,"53.13295833,15.45318332,STARY KLUKOM (STACJA)"
7320,STARY SĄCZ (S),82032.0,STARY SĄCZ,STARY SĄCZ (STACJA),"Żabka, Rynek, Stary Sącz, Polska",49.564234,20.6355092,MAŁOPOLSKIE,"49.564234,20.6355092,STARY SĄCZ (STACJA)"
7321,STARY WĘGLINIEC (S),51821.0,STARY WĘGLINIEC,STARY WĘGLINIEC (STACJA),STARY WĘGLINIEC CMENTARNA woj.DOLNOŚLĄSKIE Stacja:STARY WĘGLINIEC,51.30544874,15.196763,DOLNOŚLĄSKIE,"51.30544874,15.196763,STARY WĘGLINIEC (STACJA)"
7322,STARY WIELISŁAW (S),57489.0,STARY WIELISŁAW,STARY WIELISŁAW (STACJA),"57-313 Stary Wielisław, Polska",50.39901,16.56374,DOLNOŚLĄSKIE,"50.39901,16.56374,STARY WIELISŁAW (STACJA)"
7324,STASIN POLNY (S),50542.0,STASIN POLNY,STASIN POLNY (STACJA),STASIN POLNY (STACJA) 21-030 woj.LUBELSKIE,51.2135777,22.4753693,LUBELSKIE,"51.2135777,22.4753693,STASIN POLNY (STACJA)"
7326,STASZÓW (S),64154.0,STASZÓW,STASZÓW (STACJA),"DWORZEC PKP STASZÓW, KRAKOWSKA, 28-200 STASZÓW, POLSKA",50.55190985,21.15751147,województwo świętokrzyskie,"50.55190985,21.15751147,STASZÓW (STACJA)"
